N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
1;9782286041328;NAISSANCE DU ROI ARTHUR-LA;MARKALE JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;CYCLE DU GRAAL;RHI-MAR;;;;
2;;ILIADE;HOMERE;ANTIQUITE;GREC;LITTÉRATURE CLASSIQUE;HISTORIQUE;TOUT PUBLIC;L’ Iliade raconte la derniEre année de la guerre de Troie, entre les Grecs et les Troyens;LHI-HOM;;;;
3;9782070391653;ELEGANCE DU HERISSON-L';BARBERY MURIEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BAR;;;;
4;;PENSEES-LES;DAC PIERRE;CONTEMPORAINE (+19°);FRANCAIS;HUMOUR;HUMOUR;TOUT PUBLIC;2 EXEMPLAIRES;HHU-DAC;;;;
5;9782724203364;VIOLETTE NOZIERE;FITERE JEAN MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;UNE AFFAIRE D’EMPOISONNEUSE, PARRICIDE …;RHI-FIT;;;;
6;;PAROLES DE SAGESSE;FENEUILLE SERGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;PRÉCEPTES DE VIE CIVILISATION EGYPTIENNE;RHI-FEN;;;;
7;9782253127765;VIE -UNE;VEIL SIMONE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;TOUT PUBLIC;;DBI-VEI;;;;
8;;SPLENDEURS ET MISERES DES COURTISANES;BALZAC HONORÉ;CLASSIQUE(18°-);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-BAL;;;;
9;;HISTOIRE DE LA ° GUERRE MONDIALE 1944-1945;GALLO MAX;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;TOUT PUBLIC;;DHI-GAL;;;;
10;;CHAGRIN D'ECOLE;PENNAC DANIEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;HISTOIRE D'UN CANCRE;RRO-PEN;;;;
11;;POURQUOI LES HOMMES VEULENT DU SEXE ET LES FEMMES DE L'AMOUR;PEASE ALLAN ET BARBARA;;;ROMAN;VIE QUOTIDIENNE;ADULTE;PSYCHOLOGIE AMOUREUSE;RVI-PEA;;;;
12;9782213618630;ALLO BABOU VIENS VITE ON A BESOIN DE TOI;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
13;;C'EST QUOI CE PETIT BOULOT ?;DE BURON NICOLE;;;DOCUMENT;SOCIAL;TOUT PUBLIC;;DSO-DE ;;;;
14;;AMOUR INACHEVE-L';LEURRECH MARYSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEU;;;;
15;;MOINS QUE RIEN L'ADO PERDU-LE;PELZER DAVE;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;SOCIAL;TOUT PUBLIC;ENFANCE MALTRAITÉE;DSO-PEL;;;;
16;;IDOLE-L';MERLE ROBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
17;9782724223667;MEMES-LES;PUJOL ALAIN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;SOCIAL;ADULTE;SUITE DE TABLEAUX;RSO-PUJ;;;;
18;;VENGEANCE AU CŒUR DE LILLE;CHERRUEL  MARYSE;;;ROMAN;POLICIER;ADULTE;;RPO-CHE;;;;
19;9782840986560;RASPOUTINE LE PARIA DE DIEU;VIDAL PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-VID;;;;
20;9782070350896;BIENVEILLANTES-LES;LITTELL  JONATHAN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE; PRIX GONCOURT 2006- HORREURS SECONDE GUERRE MONDIALE;RHI-LIT;;;;
21;;SIECLE DE DIEU-LE;HERMARY VIEILLE CATHERINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-HER;;;;
22;;CATHERINE LA GRANDE;TROYAT HENRI;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-TRO;;;;
23;9782070372423;BONHEUR DES DAMES-AU;ZOLA EMILE;;;LITTÉRATURE CLASSIQUE;SOCIAL;TOUT PUBLIC;;LSO-ZOL;;;;
24;9782266119603;DEFRICHEURS D'ETERNITE -LES;MICHELET CLAUDE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MIC;;;;
